original_name,synonym_tr8,h_max,h_min,le_area,le_long,seed_wght,li_span,canopy_height,leaf_dmc,leaf_mass,leaf_size,life_span,seed_mass,seed_number_per_shoot,C.N.Ratio,Height..Mature,Lifespan,seed_mas_cal,seed_pro_cal,leaf_N_area,leaf_N_mass,max_height_cal,sla_cal
Acer platanoides,Acer platanoides,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),26.25,274,NA,5193.766667,perennials,100.828,1,High,50,Short,NA,NA,NA,NA,NA,NA
Achillea millefolium,Achillea millefolium,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3955,185.5,21.76333333,411,perennials + poly-annuals < 5 years (short-lived perennials) + poly-annuals > 50 years (long-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),0.131833333,4969.69375,Medium,3,Moderate,0.256,658,NA,NA,NA,NA
Acinos arvensis,Acinos arvensis,NA,NA,NA,NA,NA,a (annual) - b (biennial) - h (pluriennial-hapaxanthic) - p (pluriennial-pollakanthic),0.2,235.3025,8.041592735,254.7425,summer annuals + strict monocarpic bi-annuals and poly-annuals + poly-annuals < 5 years (short-lived perennials),0.615533333,342,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actaea spicata,Actaea spicata,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.408333333,248.33,546.005,21941.25,perennials + poly-annuals 5-50 years (medium-lived perennials),119.9452,262.4444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adoxa moschatellina,Adoxa moschatellina,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.07,136.6666667,49.84635706,1903.666667,poly-annuals 5-50 years (medium-lived perennials),0.629,276.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethusa cynapium,Aethusa cynapium,NA,NA,NA,NA,NA,a (annual),0.441666667,193.55,118.208578,3207.7575,annuals + summer annuals + winter annuals + strict monocarpic bi-annuals and poly-annuals,1.69492,19202.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrimonia eupatoria,Agrimonia eupatoria,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.333333333,339.5,494.5374473,8461,perennials + poly-annuals 5-50 years (medium-lived perennials),14.178,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrimonia procera,Agrimonia procera,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.95,313.4433333,641.8874022,12416.05667,poly-annuals 5-50 years (medium-lived perennials),19.86,843.7179487,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis canescens,Calamagrostis canescens,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1,361,41.32992509,737.5,perennials + poly-annuals < 5 years (short-lived perennials),0.0895,17388.27451,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis canina,Agrostis canina,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3,281.985,1.950036232,67,perennials + poly-annuals 5-50 years (medium-lived perennials),0.055485714,385148,Low,1.5,Moderate,NA,NA,NA,NA,NA,NA
Agrostis capillaris,Agrostis capillaris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.25,259.6675,10.18646216,335.6666667,perennials + poly-annuals 5-50 years (medium-lived perennials),0.0641,24993.99167,Low,2,Short,0.057,NA,NA,NA,NA,NA
Agrostis gigantea,Agrostis gigantea,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.975,241.17,9.945,304.5,perennials + poly-annuals < 5 years (short-lived perennials),0.079942857,251.6818182,Medium,2,Short,NA,NA,NA,NA,NA,NA
Agrostis mertensii,Agrostis mertensii,NA,NA,NA,NA,NA,NA,0.06,312.5,3.305454545,61.319,NA,0.1259375,30.50833333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis stolonifera,Agrostis stolonifera,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,273.305,9.408257568,365.6666667,perennials + poly-annuals < 5 years (short-lived perennials),0.047775,62463.25,Medium,2,Short,0.059,NA,NA,NA,NA,NA
Agrostis vinealis,Agrostis vinealis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.11,333.655,10.35444175,373.875,perennials + poly-annuals 5-50 years (medium-lived perennials),0.062906667,68.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aira caryophyllea,Aira caryophyllea,NA,NA,NA,NA,NA,a (annual),0.11,279.6666667,1.078029614,14.2,summer annuals + winter annuals,0.108,5714,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aira praecox,Aira praecox,NA,NA,NA,NA,NA,a (annual),0.0725,270.2925,0.823571429,9.5625,summer annuals + winter annuals,0.1585,15447.17857,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ajuga pyramidalis,Ajuga pyramidalis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.14875,199.55,45.475,753,poly-annuals 5-50 years (medium-lived perennials),1.5381,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ajuga reptans,Ajuga reptans,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.161666667,153,17.36967841,556,perennials + poly-annuals > 50 years (long-lived perennials),1.46519,2478.833333,Medium,0.3,Moderate,NA,NA,NA,NA,NA,NA
Alchemilla alpina,Alchemilla alpina,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.0924,306.6666667,26.415,335.2764865,NA,0.287822222,50.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla cymatophylla,Alchemilla cymatophylla,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla filicaulis,Alchemilla filicaulis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.1375,284,68.68956522,1206,poly-annuals 5-50 years (medium-lived perennials),0.57455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla glabra,Alchemilla glabra,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.22875,243.4783333,106.7631327,1535.636429,perennials + poly-annuals 5-50 years (medium-lived perennials),0.447633333,68.125,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla glaucescens,Alchemilla glaucescens,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.2,270.7466667,84.76,1689.25,poly-annuals < 5 years (short-lived perennials),0.516866667,193,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla glomerulans,Alchemilla glomerulans,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.4,NA,NA,NA,NA,NA,51.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla micans,Alchemilla micans,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla monticola,Alchemilla monticola,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.2575,227.44,135.78,2594.75,perennials + poly-annuals 5-50 years (medium-lived perennials),0.5004,18604.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla propinqua,Alchemilla propinqua,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,248.69,127.54,2528,poly-annuals 5-50 years (medium-lived perennials),NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla subcrenata,Alchemilla subcrenata,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.5,228.545,106.1933333,2070.573333,poly-annuals 5-50 years (medium-lived perennials),NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla subglobosa,Alchemilla subglobosa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,241.98,121.815,2389,poly-annuals 5-50 years (medium-lived perennials),NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla vulgaris,Alchemilla vulgaris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.37,342.5,NA,NA,perennials + poly-annuals 5-50 years (medium-lived perennials),0.633333333,455.0857143,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla wichurae,Alchemilla wichurae,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla xanthochlora,Alchemilla xanthochlora,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.415,212.195,316.0017795,7360.75,perennials + poly-annuals 5-50 years (medium-lived perennials),0.3272,250,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alisma plantago-aquatica,Alisma plantago-aquatica,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.325,135.03,516.2592523,11979.41667,poly-annuals < 5 years (short-lived perennials),0.382625,26542.05,,3,Moderate,0.589,NA,NA,NA,NA,NA
Alliaria petiolata,Alliaria petiolata,NA,NA,NA,NA,NA,a (annual) - p (pluriennial-pollakanthic),0.45,161.3333333,213.9370109,7514,winter annuals + strict monocarpic bi-annuals and poly-annuals,2.348,9887.305556,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium lusitanicum,Allium lusitanicum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium oleraceum,Allium oleraceum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.225,150,145.6422472,1224,perennials + poly-annuals < 5 years (short-lived perennials),11.36966667,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium schoenoprasum,Allium schoenoprasum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.32,170.58,93.455,556,perennials + poly-annuals < 5 years (short-lived perennials),0.9109,2259.727273,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium scorodoprasum,Allium scorodoprasum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.55,207.7,146.09,670.5,perennials + poly-annuals < 5 years (short-lived perennials),43.1704,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium ursinum,Allium ursinum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.275,114.3333333,196.7617767,6656.666667,perennials + poly-annuals < 5 years (short-lived perennials),5.3948,255.8690476,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium vineale,Allium vineale,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.25,170.5,101.1660297,1195,annuals + perennials + poly-annuals < 5 years (short-lived perennials),7.504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alnus glutinosa,Alnus glutinosa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),14.33333333,248,NA,3462.95,perennials + poly-annuals < 5 years (short-lived perennials),2.3111,NA,High,60,Moderate,NA,NA,NA,NA,NA,NA
Alnus incana,Alnus incana,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),14,213.84,91.47,2723.31,poly-annuals < 5 years (short-lived perennials),0.55,NA,High,25,Short,NA,NA,NA,NA,NA,NA
Alopecurus aequalis,Alopecurus aequalis,NA,NA,NA,NA,NA,a (annual) - p (pluriennial-pollakanthic),0.14,177.76,13.2,341.75,perennials + summer annuals + winter annuals,0.17425,1802.333333,Low,2.5,Short,0.134,NA,NA,NA,NA,NA
Alopecurus arundinaceus,Alopecurus arundinaceus,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.625,NA,NA,NA,NA,0.42809,NA,High,3,Moderate,NA,NA,NA,NA,NA,NA
Alopecurus pratensis,Alopecurus pratensis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.45,308.06,43.4306142,1088.125,perennials,0.658,45361.375,Medium,3,Long,0.84,NA,NA,NA,NA,NA
Ammophila arenaria,Ammophila arenaria,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.8,287,120.2657785,972,perennials,3.5708,35650,Low,2,Moderate,NA,NA,NA,NA,NA,NA
Anacamptis morio,Orchis morio,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.175,127.84,18.255,735.5,perennials,NA,21666.66667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anagallis minima,Anagallis minima,NA,NA,NA,NA,NA,NA,0.038333333,122.515,0.136666667,8.805,summer annuals,0.0353,270.1538462,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anagallis minima,Anagallis minima,NA,NA,NA,NA,NA,NA,0.038333333,122.515,0.136666667,8.805,summer annuals,0.0353,270.1538462,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andromeda polifolia,Andromeda polifolia,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.2625,414.38,10.04,40.375,perennials + poly-annuals 5-50 years (medium-lived perennials),0.17525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Androsace septentrionalis,Androsace septentrionalis,NA,NA,NA,NA,NA,a (annual),0.0125,178.62,1.06,27,summer annuals + strict monocarpic bi-annuals and poly-annuals,0.216,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemone nemorosa,Anemone nemorosa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.138333333,205,123.8710231,3003,perennials + poly-annuals < 5 years (short-lived perennials) + poly-annuals > 50 years (long-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),2.1444,2151.730894,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemone ranunculoides,Anemone ranunculoides,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.135,184.66,19.7575,1424.13,poly-annuals < 5 years (short-lived perennials) + poly-annuals > 50 years (long-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),1.74375,17.73571429,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angelica archangelica,Angelica archangelica,NA,NA,NA,NA,NA,b (biennial) - h (pluriennial-hapaxanthic),0.758333333,225.4733333,5538.883333,65794.29667,summer annuals + strict monocarpic bi-annuals and poly-annuals,4.097625,6006.428571,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angelica sylvestris,Angelica sylvestris,NA,NA,NA,NA,NA,b (biennial) - h (pluriennial-hapaxanthic),0.783333333,220,1531.2,40902,perennials + strict monocarpic bi-annuals and poly-annuals,2.421444444,11950.092,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisantha sterilis,Bromus sterilis,NA,NA,NA,NA,NA,a (annual),0.375,230.75,15.24976068,467.3333333,summer annuals + winter annuals + strict monocarpic bi-annuals and poly-annuals,7.4854,5204.803571,NA,NA,NA,5.83,NA,NA,NA,NA,NA
Anisantha tectorum,Bromus tectorum,NA,NA,NA,NA,NA,a (annual),0.2575,151.45,19.81,724,summer annuals + winter annuals + strict monocarpic bi-annuals and poly-annuals,3.053382,6646.25,NA,NA,NA,2,NA,NA,NA,NA,NA
Antennaria dioica,Antennaria dioica,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.1,249,2.4,28,perennials + poly-annuals > 50 years (long-lived perennials),0.0535,280,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthericum ramosum,Anthericum ramosum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.2875,161.45,76.94,1733.5,perennials,4.244,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthoxanthum nipponicum,Anthoxanthum alpinum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.093133333,298.7,11.57272727,173.1897619,perennials,0.383076923,16.43181818,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthoxanthum odoratum,Anthoxanthum odoratum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.165,258.75,2.31,NA,perennials,0.62875,8793.390668,NA,NA,NA,0.587,NA,NA,NA,NA,NA
Anthriscus sylvestris,Anthriscus sylvestris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.733333333,207,891.0798085,22864,annuals + perennials + strict monocarpic bi-annuals and poly-annuals + poly-annuals < 5 years (short-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),4.304266667,4131.984524,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthyllis vulneraria,Anthyllis vulneraria,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.2,170,63.29470563,1007,annuals + perennials + strict monocarpic bi-annuals and poly-annuals + poly-annuals 5-50 years (medium-lived perennials),3.253391667,80.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphanes australis,Aphanes australis,NA,NA,NA,NA,NA,a (annual),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
